datetime_local,UVI_all,UVI_clear
2025-08-17 00:00:00-04:00,0.0,0.0
2025-08-17 01:00:00-04:00,0.0,0.0
2025-08-17 02:00:00-04:00,0.0,0.0
2025-08-17 03:00:00-04:00,0.0,0.0
2025-08-17 04:00:00-04:00,0.0,0.0
2025-08-17 05:00:00-04:00,0.0,0.0
2025-08-17 06:00:00-04:00,0.0,0.0
2025-08-17 07:00:00-04:00,0.0,0.05
2025-08-17 08:00:00-04:00,0.05,0.55
2025-08-17 09:00:00-04:00,0.15,1.65
2025-08-17 10:00:00-04:00,0.9,3.0
2025-08-17 11:00:00-04:00,1.55,4.45
2025-08-17 12:00:00-04:00,1.9,5.6
2025-08-17 13:00:00-04:00,2.4,6.15
2025-08-17 14:00:00-04:00,1.5,6.3
2025-08-17 15:00:00-04:00,1.95,6.0
2025-08-17 16:00:00-04:00,1.9,5.15
2025-08-17 17:00:00-04:00,1.95,3.95
2025-08-17 18:00:00-04:00,2.6,2.6
2025-08-17 19:00:00-04:00,1.3,1.3
2025-08-17 20:00:00-04:00,0.35,0.35
2025-08-17 21:00:00-04:00,0.0,0.0
2025-08-17 22:00:00-04:00,0.0,0.0
2025-08-17 23:00:00-04:00,0.0,0.0
